"sum","n"
-345.4,315
-175.5,143
-88.4,148
-93.3,78
29.5,148
-180.6,153
-124.8,238
-56.4,102
-74.6,157
-163.7,235
-48,56
-121.5,133
-29.6,112
23.4,98
-31.4,24
-12.9,32
-35.4,108
-17.5,70
25.5,54
54.7,47
3.09999999999999,74
0.899999999999999,68
-74.3,66
-18,28
-33.4,68
-30.6,77
-153.3,143
-108.4,172
-118.2,163
-155,174
-39.8,90
-114.8,93
-60.9,162
-120.9,161
-170.6,178
-627.7,461
16.2000000000001,373
-132.5,301
-115.5,259
-870,647
-734.7,870
-129.3,105
-203.8,234
-194.7,157
-315.3,400
-545.1,330
-372.8,304
-42.1,109
-106,137
-299.1,210
-333.1,374
-227.8,290
-384.1,345
-223.4,156
-109.4,226
-237.6,168
-266.8,233
-90.9,205
-258.8,211
-30,177
-217.1,123
-416.1,298
-105.1,223
-83.1,228
-292.5,270
-344.5,300
-348.5,383
-103.1,351
-268.4,228
-147.6,127
-174.1,178
-390.6,173
-56.5,74
-402.2,378
-81.1,225
-242.9,160
-147.7,207
-422.6,309
-420.3,460
-220.6,249
-387.6,245
-61.7,93
-321.2,230
-356.6,298
-192.3,113
-792,855
-316.8,326
-133.4,124
-223.9,137
-118.4,95
-451.7,376
-207.6,141
-277.7,115
-391.7,264
-211.8,275
-231,189
-337.4,289
-152.8,145
-112.3,127
-193.2,123
-249.3,226
-126.2,125
-16.8,103
-123.4,103
-86.9,84
-194.8,406
-107.4,107
-68.1,42
-122.7,154
-266.7,125
-48.6,65
-211.9,158
-79.6,113
-222.2,133
-60,84
-83.8,182
-120.9,147
-300.9,129
-457.4,341
-168,279
-226.1,169
-121.4,166
-297.5,435
-458.8,343
-252.2,241
-188.2,417
-180.9,132
-6.10000000000002,161
-200.8,196
-33.5,81
-43.4,96
-115.5,120
-134,183
-123.8,202
-124,210
-208.9,147
-12,52
-116.9,86
5.4,36
-411.6,296
-64.7,76
-3.59999999999999,43
-418.1,198
-233.1,177
1.4,64
-158.9,138
-142.9,180
-199.1,187
-52.2,40
-178.7,204
-164.1,126
-128.4,102
-622.5,797
-96.2,112
-192.5,93
-539.8,336
-723.1,555
-406.2,247
-86.9,70
-60.4,114
-249.4,156
-546.4,279
-106.7,87
-172.6,186
-511.5,338
-79.2,86
-176.8,111
-156.3,256
-104.6,55
11.9,29
-51.3,31
-8.2,13
7.7,27
-65.6,60
-45.8,79
-83.3,40
-118.4,198
-26.3,37
-5.7,13
-25.9,61
43.4,76
-19.3,47
-55.3,60
51.9,27
4.3,61
-73.6,66
89.6,47
-39.7,47
-111.2,69
23.7,69
-48.8,61
15.6,48
-44.3,91
-94.3,139
-340.4,308
-193,150
-85.6,154
-393.6,366
-572.1,529
-288.1,208
-277.7,476
-76.1,76
-25.6,176
-107.7,78
-64.8,112
-25.4,46
-39.6,64
-130.8,89
-41.9,50
-58.4,109
-59.6,67
-185.6,123
-126.4,89
-79.6,121
-238.9,338
-199.5,209
-97.6,233
-235.8,224
-161.7,109
-197.7,155
-139.7,211
-343.5,291
-106.8,132
-403.7,251
41.3,48
-64.3,58
15.8,22
-112.8,183
-76.7,68
-161.9,177
-56.1,129
-109.1,94
-73,122
-224.5,150
-103.5,100
-64.1,167
-11.9,122
-312.1,274
-342.4,428
-104.5,66
-71,131
-37.4,40
-74.7,58
-98.7,80
-17.7,77
-125.3,55
-150.3,74
-39.4,62
-202.8,181
-152.4,115
-20.4,43
35.8,59
-66.9,50
-73.1,224
-51,75
-103.6,73
